,category,score,count
0,joy,"997,3399999999999",1061
1,disgust,"259,7",490
2,surprise,"65,5",131
3,sadness,"116,0",116
4,surprise,"48,84",111
5,fear,"75,44",82
6,joy,"72,68",79
7,anger,"72,0",72
8,anticipation,"33,92",64
9,sadness,"57,0",57
10,joy,"51,699999999999996",55
11,anticipation,"39,690000000000005",49
12,surprise,"23,0",46
13,anger,"43,0",43
14,anger,"20,5",41
15,anger,"22,619999999999997",39
16,fear,"35,89",37
17,sadness,"29,44",32
18,anger,"21,75",29
19,fear,"22,41",27
20,anticipation,"14,499999999999998",25
21,sadness,"20,25",25
22,disgust,"14,08",22
23,fear,"13,799999999999999",20
24,disgust,"11,52",18
25,fear,"12,959999999999999",18
26,sadness,"14,1",15
27,disgust,"9,38",14
28,anticipation,"6,0",12
29,surprise,"5,04",12
30,trust,"7,199999999999999",10
31,trust,"7,5",10
32,trust,"6,03",9
33,disgust,"6,03",9
34,surprise,"3,0",6
35,joy,"5,64",6
36,trust,"4,1499999999999995",5
37,joy,"3,0",3
38,trust,"1,38",2
39,anticipation,"0,64",1
