,category,score,count
0,joy,"223,72",238
1,disgust,"33,92",64
2,surprise,"19,0",38
3,sadness,"22,0",22
4,joy,"20,240000000000002",22
5,surprise,"8,8",20
6,fear,"13,8",15
7,joy,"13,16",14
8,anger,"12,0",12
9,sadness,"11,0",11
10,anticipation,"5,300000000000001",10
11,surprise,"4,5",9
12,anticipation,"6,48",8
13,anticipation,"4,64",8
14,trust,"5,52",8
15,anger,"3,5",7
16,anticipation,"3,0",6
17,fear,"3,5999999999999996",5
18,fear,"4,1499999999999995",5
19,sadness,"3,68",4
20,disgust,"2,68",4
21,anger,"4,0",4
22,anger,"2,32",4
23,trust,"3,0",4
24,surprise,"1,26",3
25,sadness,"2,82",3
26,trust,"1,34",2
27,disgust,"1,28",2
28,sadness,"1,62",2
29,fear,"0,69",1
30,joy,"1,0",1
31,disgust,"0,67",1
32,trust,"0,72",1
33,anger,"0,75",1
34,joy,"0,94",1
