,category,score,count
0,joy,"223,72",238
1,disgust,"37,1",70
2,surprise,"21,0",42
3,surprise,"14,52",33
4,joy,"25,76",28
5,sadness,"27,0",27
6,joy,"16,919999999999998",18
7,fear,"15,64",17
8,anger,"7,5",15
9,sadness,"13,0",13
10,anticipation,"6,36",12
11,anger,"12,0",12
12,anger,"6,38",11
13,anticipation,"6,38",11
14,anticipation,"6,48",8
15,surprise,"4,0",8
16,fear,"5,04",7
17,disgust,"4,48",7
18,surprise,"2,1",5
19,anger,"3,75",5
20,trust,"3,5999999999999996",5
21,sadness,"3,24",4
22,surprise,"2,0",4
23,disgust,"1,92",3
24,fear,"1,94",2
25,sadness,"1,88",2
26,anticipation,"1,28",2
27,disgust,"1,34",2
28,fear,"1,38",2
29,anger,"2,0",2
30,disgust,"0,67",1
31,fear,"0,83",1
32,anticipation,"0,5",1
