,category,score,count
0,joy,"243,45999999999998",259
1,anger,"105,0",105
2,disgust,"38,160000000000004",72
3,sadness,"60,0",60
4,surprise,"21,0",42
5,surprise,"18,0",36
6,joy,"32,9",35
7,joy,"21,16",23
8,surprise,"9,68",22
9,fear,"18,400000000000002",20
10,sadness,"15,0",15
11,anticipation,"7,95",15
12,anger,"9,0",12
13,anger,"6,0",12
14,anticipation,"8,91",11
15,anticipation,"5,8",10
16,surprise,"4,0",8
17,joy,"7,52",8
18,anger,"4,64",8
19,disgust,"3,84",6
20,fear,"3,4499999999999997",5
21,sadness,"4,6000000000000005",5
22,sadness,"4,699999999999999",5
23,disgust,"3,35",5
24,surprise,"2,1",5
25,fear,"2,88",4
26,trust,"3,0",4
27,fear,"3,32",4
28,trust,"2,88",4
29,disgust,"2,0100000000000002",3
30,anger,"3,0",3
31,trust,"1,66",2
32,fear,"1,94",2
33,anticipation,"1,0",2
34,sadness,"1,62",2
35,disgust,"0,64",1
36,anticipation,"0,64",1
37,trust,"0,67",1
