,category,score,count
0,joy,"456,84",486
1,disgust,"77,38000000000001",146
2,sadness,"74,0",74
3,surprise,"35,0",70
4,anger,"50,0",50
5,joy,"41,36",44
6,fear,"34,04",37
7,sadness,"34,0",34
8,joy,"31,28",34
9,surprise,"13,64",31
10,surprise,"14,0",28
11,anger,"12,0",24
12,joy,"16,919999999999998",18
13,anger,"9,28",16
14,anticipation,"11,34",14
15,anticipation,"7,42",14
16,sadness,"10,530000000000001",13
17,fear,"10,79",13
18,sadness,"11,28",12
19,anticipation,"5,5",11
20,disgust,"7,37",11
21,trust,"7,5",10
22,anticipation,"5,8",10
23,sadness,"7,36",8
24,anger,"7,0",7
25,fear,"4,32",6
26,disgust,"3,84",6
27,surprise,"3,0",6
28,trust,"3,5999999999999996",5
29,surprise,"2,1",5
30,anger,"3,75",5
31,disgust,"2,56",4
32,disgust,"2,68",4
33,trust,"2,0100000000000002",3
34,fear,"1,38",2
35,trust,"0,83",1
36,anticipation,"0,64",1
37,joy,"1,0",1
